Skepticism,Serenity,Fear,Disgust,Solidarity,Elation,Envy,Puzzlement,Recklessness,Loyalty,Trust,Sadness,Shame,Catharsis,Unease,Introspection,Excitement,Riskiness,Mischief,Enlightenment,Love,Tension,Sarcasm,Frustration,Longing,Awe,Defiance,Amusement,Vulnerability,Surprise,Compassion,Resentment,Triumph,Happiness,Acceptance,Bravery,Hope,Conflict,Exhilaration,Inspiration,Curiosity,Regret,Nostalgia,Irony,Despair,Resignation,Closeness,Adrenaline,Belonging,Anger
skepticism,serenity,fear,disgust,solidarity,elation,envy,puzzlement,recklessness,loyal,trust,sadness,shame,catharsis,uneas,introspect,excite,riskiness,mischief,enlightenment,affection,tension,sarcasm,frustrat,longing,awe-inspiring,defiance,hilarity,vulnerability,surpris,compassion,resent,triumph,joyful,acceptance,brave,hope,conflict,euphoria,inspiration,curiosity,regret,nostalgi,irony,despair,resignation,closeness,adrenaline,belonging,anger
skeptic,serene,afraid,repulse,unite,elate,jealous,puzzle,reckless,faithful,rely,unhappy,embarrass,cathartic,discomfort,contemplate,thrill,risky,prank,wisdom,adore,tense,sarcastic,annoy,yearn,fascinat,defy,amuse,vulnerable,startle,sympath,grudge,victory,happiness,consent,courage,optimis,dispute,euphoric,motivation,curious,remorse,reminiscence,paradox,hopelessness,acquiescence,intima,stimulation,inclusion,angry
disbelieve,tranquil,alarming,nauseat,together,ecstatic,covet,confound,impulse,dedicate,assure,sadden,humiliate,purge,apprehension,ponder,eager,danger,trick,epiphany,devote,strain,mocking,irritat,crave,wonderful,resistance,amusing,fragile,shock,empath,bitterness,prevail,cheer,approval,fearless,aspiration,clash,bliss,inspire,inquisitive,contrition,sentimental,ironic,dejection,yielding,proximity,alertness,affiliation,exasperat
incredulous,repose,terrify,revolt,allied,jubilant,begrudge,baffle,daredevil,steadfast,secure,heartache,mortify,cleanse,misgiving,ruminate,frenzy,hazard,shenanigan,,passion,turmoil,satire,vex,craving,astonish,rebel,hilarious,defenseless,startling,benevolen,indignation,,exuberance,agreement,heroi,aspire,struggle,exhilaration,motivate,wonderment,lament,homesick,mockery,gloom,surrender,affinity,,membership,hateful
incredulity,equanimity,terrified,sicken,cohesive,overjoy,spite,perplex,brash,devotion,credence,mourn,disgrace,emancipation,anxiety,,,peril,naughty,,,suspense,wry,,wistful,breathtaking,insubordinate,laugh,insecure,,kindness,hostility,,radiance,endorsement,fortitude,expectancy,discord,exhilarate,idoliz,exploration,self-reproach,,,misery,,bond,,,mad
dubious,placid,frighten,appall,kinship,rapturous,jealousy,mystify,,,,devastat,mortified,,worry,,,jeopardy,roguish,,,,derision,,,grandiose,,mirth,,,,,,delight,acknowledg,valor,faith,opposition,invigorate,,discovery,disappoint,,,somber,,,,,infuriat
suspicio,harmony,panic,loath,,,,bewilder,,,,heartbroken,,,dread,,,,,,,,,,,captivat,,glee,,,,,,,,,confidence,,revitalize,,intrigu,dismay,,,desponden,,,,,furious
mistrust,,alarmed,repugnant,,,,stupefy,,,,grief,,,foreboding,,,,,,,,,,,enthrall,,humor,,,,,,,,,,,ecstasy,,,,,,bleak,,,,,
distrust,,petrifying,detestable,,,,,,,,sorrow,,,worried,,,,,,,,,,,engross,,lighthearted,,,,,,,,,,,rapture,,,,,,,,,,,
,,petrified,,,,,,,,,anguish,,,anxious,,,,,,,,,,,mesmerize,,,,,,,,,,,,,exaltation,,,,,,,,,,,
,,scary,,,,,,,,,,,,nervous,,,,,,,,,,,enchant,,,,,,,,,,,,,jubilation,,,,,,,,,,,
,,,,,,,,,,,,,,paranoid,,,,,,,,,,,bewitch,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,agitation,,,,,,,,,,,spellbind,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,agitate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,restless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,jitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,fidget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,perturb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,urgency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
